EXPEDIENTE;TIPO;ACTIVIDAD;REGIÓN;PROVINCIA;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD
11069;ANÓNIMA;G4663.13;SIERRA;PICHINCHA;GRANDE;SOCIETARIO;560;19013932,6;5441045,72;27523262,48;2935433,52
103998;ANÓNIMA;G4663.13;COSTA;GUAYAS;GRANDE;SOCIETARIO;145;16498974,5;11084842;54939460,87;1180874,92
23140;RESPONSABILIDAD LIMITADA;G4663.21;COSTA;EL ORO;GRANDE;SOCIETARIO;65;13759911,4;1854107,85;16703972,8;229199,17
165341;ANÓNIMA;G4663.13;COSTA;GUAYAS;GRANDE;SOCIETARIO;108;13015774,6;4353938,42;20409276,64;81756,86
49377;ANÓNIMA;G4649.23;SIERRA;PICHINCHA;GRANDE;SOCIETARIO;65;12664279,7;4547432,49;19232070,6;-900404,03
93937;RESPONSABILIDAD LIMITADA;G4510.01;SIERRA;SANTO DOMINGO;GRANDE;MERCADO DE VALORES;84;11244873,77;4368085,83;29561927,79;596396,75
64400;ANÓNIMA;G4530.00;SIERRA;PICHINCHA;GRANDE;SOCIETARIO;127;9995738;5025093,32;20630696,65;333167,81
134199;ANÓNIMA;G4630.91;COSTA;GUAYAS;GRANDE;SOCIETARIO;45;5253879,73;1517421,13;8854068,33;225228,4
13963;RESPONSABILIDAD LIMITADA;G4659.93;SIERRA;PICHINCHA;MEDIANA;SOCIETARIO;72;4062203,66;1652293,17;4671653,37;17206,79
95267;RESPONSABILIDAD LIMITADA;G4690.00;SIERRA;AZUAY;GRANDE;SOCIETARIO;20;3275649,18;316576,06;10046018,11;-58109,16
38591;ANÓNIMA;G4530.00;COSTA;GUAYAS;MEDIANA;SOCIETARIO;25;3264893,33;1027944,57;2538195,36;6781,2
114476;ANÓNIMA;G4641.12;COSTA;GUAYAS;MEDIANA;SOCIETARIO;35;3013187,79;714464,69;4086502,65;107856,94
85463;ANÓNIMA;G4771.11;SIERRA;PICHINCHA;MEDIANA;SOCIETARIO;12;2693648,97;621597,98;3961554,75;22993,29
20664;RESPONSABILIDAD LIMITADA;G4630.99;COSTA;GUAYAS;MEDIANA;SOCIETARIO;24;2014349,57;1621653,65;3440059,46;0
88220;RESPONSABILIDAD LIMITADA;G4659.95;SIERRA;PICHINCHA;MEDIANA;SOCIETARIO;26;1928838,75;442179,72;3518827,86;91519,65
59848;ANÓNIMA;G4690.00;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;8;1617287,42;1535759,49;294190,04;13974,28
107274;ANÓNIMA;G4669.21;COSTA;GUAYAS;MEDIANA;SOCIETARIO;40;1616155,08;1184721,13;2580843,6;433962,65
159836;RESPONSABILIDAD LIMITADA;G4669.11;SIERRA;PICHINCHA;MEDIANA;SOCIETARIO;11;1328945;570241,59;1881095,12;42162,13
139976;SUCURSAL  EXTRANJERA;G4661.01;SIERRA;PICHINCHA;GRANDE;SOCIETARIO;4;1320337,34;253863,3;5733202,12;242848,2
172393;RESPONSABILIDAD LIMITADA;G4719.00;SIERRA;AZUAY;PEQUEÑA;SOCIETARIO;14;1153072,75;916659,41;913932,73;2271,58
183316;ANÓNIMA;G4651.02;COSTA;GUAYAS;MEDIANA;SOCIETARIO;4;1133010,64;800;1772946,44;0
175356;ANÓNIMA;G4653.01;COSTA;GUAYAS;GRANDE;SOCIETARIO;5;1023332,03;260392,9;5315465,53;128361,51
141443;RESPONSABILIDAD LIMITADA;G4659.93;SIERRA;PICHINCHA;MEDIANA;SOCIETARIO;25;1007399,12;288438,61;1368719,25;10067,78
161597;RESPONSABILIDAD LIMITADA;G4530.00;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;25;918305,55;365885,76;776995,44;9034,4
6287;ANÓNIMA;G4772.01;SIERRA;LOJA;MEDIANA;SOCIETARIO;11;898147,63;450930,3;1559912,32;53250,41
90044;ANÓNIMA;G4752.01;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;816431,91;208417,25;547640,78;40911,05
129092;ANÓNIMA;G4630.31;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;16;811372;809272;17415,25;2075,47
137699;RESPONSABILIDAD LIMITADA;G4741.13;SIERRA;AZUAY;MEDIANA;SOCIETARIO;14;650312,39;373753,22;2936577,21;109291,69
133927;ANÓNIMA;G4649.92;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;3;649638,6;9773,3;495401,98;2816,07
6783;RESPONSABILIDAD LIMITADA;G4799.01;SIERRA;AZUAY;MEDIANA;SOCIETARIO;30;634176,38;385826,82;1429918,14;-457865,04
99740;ANÓNIMA;G4652.02;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;6;597320,89;591398,25;62487,84;0
172296;ANÓNIMA;G4649.23;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;3;549672,93;77790,41;282056,36;36918,9
181550;ANÓNIMA;G4651.02;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;9;499605,99;-243774,23;585000;-10279,18
300288;ANÓNIMA;G4653.01;SIERRA;PICHINCHA;MEDIANA;SOCIETARIO;6;498930;107385,52;1553059,66;69585,34
45228;ANÓNIMA;G4651.01;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;2;498337,19;83411,07;48081,86;-12871,72
175274;ANÓNIMA;G4663.13;COSTA;GUAYAS;MEDIANA;SOCIETARIO;3;496962,63;63335,49;1925326,75;13529,92
34087;ANÓNIMA;G4741.11;COSTA;MANABI;PEQUEÑA;SOCIETARIO;4;494785,69;89719,82;612426,34;3027,48
169345;ANÓNIMA;G4641.21;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;12;492637,87;123976,44;709808,83;51343,72
172890;ANÓNIMA;G4649.24;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;8;492532,54;42675,89;117947,54;665,16
383;ANÓNIMA;G4761.03;SIERRA;PICHINCHA;MEDIANA;SOCIETARIO;29;491953,84;90078,33;1356792,54;-2316,8
27297;RESPONSABILIDAD LIMITADA;G4772.03;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;490174,39;282263,34;484537,18;8835,5
132572;RESPONSABILIDAD LIMITADA;G4772.02;COSTA;GUAYAS;MEDIANA;SOCIETARIO;4;489186,35;22970,29;1080421,37;4257,35
9664;ANÓNIMA;G4610.01;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;5;485149,5;277738,68;316375,19;9203,06
125916;ANÓNIMA;G4669.12;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;484418,46;8253,66;903795,73;5705,49
63520;ANÓNIMA;G4659.94;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;467860,08;1000;0;0
160637;RESPONSABILIDAD LIMITADA;G4649.93;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;36;461276,78;155938,22;394226,79;110771,83
123414;ANÓNIMA;G4663.11;COSTA;GUAYAS;MEDIANA;SOCIETARIO;12;446341,18;180765,76;2201765,05;-44662,38
165034;ANÓNIMA;G4630.12;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;10;446026,87;32590,36;722693,56;1318,4
149470;ANÓNIMA;G4799.02;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;10;445727,16;367596,73;782701,34;66101,34
118807;ANÓNIMA;G4690.00;COSTA;GUAYAS;MEDIANA;SOCIETARIO;9;445319,17;149194,87;1586343,59;35645,27
138647;ANÓNIMA;G4610.04;GALAPAGOS;GALAPAGOS;MICROEMPRESA;SOCIETARIO;6;445091,05;9910,18;0;0
300110;ANÓNIMA;G4752.01;COSTA;GUAYAS;MEDIANA;SOCIETARIO;8;442341,89;160053,13;1132237,75;78692,21
160217;ANÓNIMA;G4659.22;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;4;432228,22;11616,66;382245,72;8893,91
114502;ANÓNIMA;G4649.97;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;30;430931,6;385193,49;641409,78;37823,28
716346;RESPONSABILIDAD LIMITADA;G4610.07;SIERRA;PICHINCHA;MEDIANA;SOCIETARIO;9;427643,71;28084,62;2226727,74;27684,62
83483;ANÓNIMA;G4759.05;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;424293,06;272774,49;2920,03;125
61143;ANÓNIMA;G4659.93;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;8;424076,29;204710,63;915937,39;52351,56
153437;RESPONSABILIDAD LIMITADA;G4659.94;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;11;413596,85;177293,75;515602,34;33030,48
7515;ANÓNIMA;G4690.00;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;4;395391,63;96424,22;0;0
304553;ANÓNIMA;G4773.99;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;6;387089,28;20793,07;296278,62;10877,86
87897;ANÓNIMA;G4690.00;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;22;378712,42;123542,64;479437,74;12548,02
180953;ANÓNIMA;G4630.95;COSTA;GUAYAS;PEQUEÑA;SOCIETARIO;4;377430,82;36062,66;368752,22;5454,27
152123;ANÓNIMA;G4530.00;SIERRA;PICHINCHA;PEQUEÑA;SOCIETARIO;12;374776,8;39309,46;681421,94;10870,48
104235;ANÓNIMA;G4759.05;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;363637,66;363313,74;19501,85;-8515,39
8097;ANÓNIMA;G4520.01;SIERRA;PICHINCHA;MICROEMPRESA;SOCIETARIO;5;354674,3;279182,77;66000;6068,59
84076;ANÓNIMA;G4610.09;COSTA;GUAYAS;MICROEMPRESA;SOCIETARIO;4;351500;2500;0;-18500
