iter	Logloss
0	0.4986343768
1	0.3900465334
2	0.3288868244
3	0.2938572474
4	0.2740029737
5	0.2623080498
6	0.2553118413
7	0.2505800745
8	0.2480203648
9	0.2464379807
10	0.2393479262
11	0.2363530206
12	0.2312616699
13	0.2305420715
14	0.2302097738
15	0.2301007416
16	0.229945588
17	0.2299231055
18	0.2294267781
19	0.229424245
20	0.2287397199
21	0.2244844827
22	0.2241498312
23	0.2234344195
24	0.2231991005
25	0.2219312233
26	0.2219237566
27	0.2217625377
28	0.219406014
29	0.2193970951
30	0.2193913746
31	0.2190243028
32	0.2190212941
33	0.2180869909
34	0.2154185172
35	0.2154084243
36	0.21540195
37	0.2151029149
38	0.2150996688
39	0.2150975886
40	0.2149760177
41	0.2147563291
42	0.2138216098
43	0.2138197357
44	0.213818535
45	0.213817766
46	0.2121446256
47	0.212087605
48	0.2094485338
49	0.2091953406
