iter	Passed	Remaining
0	5	281
1	9	233
2	14	226
3	19	228
4	24	217
5	28	206
6	32	197
7	37	194
8	40	186
9	48	192
10	72	258
11	78	248
12	83	238
13	88	228
14	93	217
15	97	206
16	101	196
17	108	192
18	118	193
19	121	182
20	127	175
21	132	168
22	137	161
23	141	153
24	145	145
25	155	143
26	162	138
27	166	130
28	170	123
29	174	116
30	177	108
31	185	104
32	188	97
33	197	92
34	205	88
35	210	81
36	213	74
37	217	68
38	220	62
39	223	55
40	227	50
41	231	44
42	240	39
43	243	33
44	246	27
45	250	21
46	255	16
47	259	10
48	270	5
49	276	0
